23|25|39|54|67|11|5|7|9|23|32|26
13|27|47|64|65|9|23|25|39|54|67|11
20|32|52|66|69|23|13|27|47|64|65|9
5|25|26|44|66|9|20|32|52|66|69|23
30|47|57|66|69|3|5|25|26|44|66|9
3|12|16|32|34|14|30|47|57|66|69|3
2|25|33|39|64|17|3|12|16|32|34|14
19|35|46|59|62|13|2|25|33|39|64|17
12|25|30|52|62|8|19|35|46|59|62|13
3|18|25|32|51|3|12|25|30|52|62|8
30|33|35|38|64|22|3|18|25|32|51|3
14|22|23|41|61|9|30|33|35|38|64|22
4|28|49|60|65|25|14|22|23|41|61|9
9|28|30|40|61|3|4|28|49|60|65|25
24|44|53|55|63|19|9|28|30|40|61|3
11|23|42|52|68|6|24|44|53|55|63|19
5|8|15|22|49|25|11|23|42|52|68|6
11|23|43|54|60|3|5|8|15|22|49|25
10|12|13|46|50|21|11|23|43|54|60|3
11|28|50|57|62|23|10|12|13|46|50|21
14|23|32|34|68|3|11|28|50|57|62|23
3|27|34|59|69|19|14|23|32|34|68|3
12|13|44|52|62|6|3|27|34|59|69|19
10|11|21|22|53|18|12|13|44|52|62|6
21|31|64|65|67|5|10|11|21|22|53|18
11|12|15|16|54|25|21|31|64|65|67|5
7|17|27|29|40|25|11|12|15|16|54|25
7|15|18|19|36|20|7|17|27|29|40|25
2|3|40|50|62|5|7|15|18|19|36|20
4|13|31|36|52|8|2|3|40|50|62|5
26|28|31|60|67|23|4|13|31|36|52|8
5|12|16|31|43|18|26|28|31|60|67|23
3|12|40|52|67|21|5|12|16|31|43|18
22|32|34|40|69|19|3|12|40|52|67|21
5|39|44|47|69|24|22|32|34|40|69|19
3|51|52|61|64|6|5|39|44|47|69|24
4|8|19|27|34|10|3|51|52|61|64|6
16|19|32|34|57|13|4|8|19|27|34|10
2|11|47|62|63|17|16|19|32|34|57|13
5|6|15|29|42|10|2|11|47|62|63|17
12|36|38|54|61|22|5|6|15|29|42|10
27|40|44|59|65|20|12|36|38|54|61|22
16|38|55|63|67|25|27|40|44|59|65|20
28|30|41|59|68|10|16|38|55|63|67|25
9|10|32|42|55|6|28|30|41|59|68|10
2|14|19|30|62|22|9|10|32|42|55|6
7|10|16|46|56|1|2|14|19|30|62|22
13|27|33|47|68|13|7|10|16|46|56|1
14|18|19|32|64|9|13|27|33|47|68|13
2|6|47|66|67|2|14|18|19|32|64|9
16|29|53|58|69|21|2|6|47|66|67|2
37|47|50|52|57|21|16|29|53|58|69|21
17|40|41|46|69|6|37|47|50|52|57|21
14|22|37|45|66|5|17|40|41|46|69|6
4|26|32|55|64|18|14|22|37|45|66|5
7|16|25|50|53|15|4|26|32|55|64|18
2|12|17|20|65|17|7|16|25|50|53|15
9|20|25|47|68|7|2|12|17|20|65|17
4|54|56|62|63|10|9|20|25|47|68|7
20|31|56|60|64|2|4|54|56|62|63|10
30|32|42|56|57|11|20|31|56|60|64|2
48|49|57|62|69|19|30|32|42|56|57|11
15|20|29|31|40|1|48|49|57|62|69|19
12|27|29|43|68|1|15|20|29|31|40|1
